"species"	"maxLong"	"habitat"	"hibernation"	"reprFemales"	"reprMales"	"weightFemales"	"weightMales"	"afr"	"indetGrowth"	"reprOutDiff"	"bodyWeightDiff"
"Mauremys reevesii"	24.2	"Aquatic"	"Yes"	2.41666666666667	2.7	0.853627273	NA	9	0.117279432673548	-0.117241379310343	NA
"Cuora galbinifrons"	30	"Terrestrial"	"Yes"	1.56684981684982	1.51025641025641	0.715009091	0.921468095	5	0.0515049141980215	0.0361192285213346	-0.288750180380574
"Cuora trifasciata"	31.8	"Aquatic"	"Yes"	2.51974955364786	3.21037712287712	1.52568051	0.770347608	8	0.408308717936243	-0.274085798816566	0.495079341349127
"Cuora amboinensis"	38.2	"Aquatic"	"No"	2.49733333333333	2.59649122807018	0.8722	0.750660305	4	0.456553975040572	-0.0397055104392085	0.139348423526714
"Heosemys grandis"	29.6	"Aquatic"	"No"	3.65625	4.10416666666667	4.700996098	7.830118421	7	0.0502603971240461	-0.122507122507123	-0.665629636308624
"Geoclemys hamiltonii"	19.2	"Aquatic"	"Yes"	9.05515873015873	7.92539682539683	2.155300371	1.861479307	6	0.757952593583833	0.124764450677067	0.136324879795606
"Batagur borneoensis"	50	"Aquatic"	"Yes"	4.43181818181818	4.86666666666667	9.50520138	5.232242061	7	0.349217738068638	-0.0981196581196593	0.449539062685277
"Siebenrockiella crassicollis"	16.7	"Aquatic"	"No"	1.33	1.5952380952381	0.197230769	0.406139184	5	0.687122683050139	-0.199427139276767	-1.05920803361062
"Geoemyda spengleri"	20	"Aquatic"	"Yes"	1.53906784936197	1.75667095667096	0.157993277	0.124421743	3	0.204747579836054	-0.141386299115532	0.212487104751932
"Indotestudo forstenii"	0	"Terrestrial"	"Yes"	1.70833333333333	1.95333333333333	1.6187	1.344684211	8	0.279176318795905	-0.143414634146342	0.169281391857664
"Indotestudo elongata"	14.1	"Terrestrial"	"No"	2.40569105691057	3.8969298245614	2.278471157	2.566696474	6	0.431359549579706	-0.61987958236246	-0.126499436306009
"Malacochersus tornieri"	25.9	"Terrestrial"	"Yes"	1.52157262448358	1.68748669363423	0.479886448	0.493208885	5	0.164445283556646	-0.109041176530736	-0.0277616445630487
"Testudo marginata"	21.2	"Terrestrial"	"Yes"	3.92380952380952	4.63265306122449	2.132554502	2.048494238	11	0.618600232386702	-0.180651872399446	0.0394176392308683
"Testudo kleinmanni"	21	"Terrestrial"	"Yes"	2.7125678119349	2.93165374677003	0.281150679	0.171758024	5	0.155931340554593	-0.0807669890762487	0.389089065653653
"Testudo graeca"	127	"Terrestrial"	"Yes"	3.21794871794872	2.99122807017544	2.266621947	1.040655838	10	0.337352188091319	0.0704550220171944	0.540878072156071
"Testudo hermanni"	31.7	"Terrestrial"	"Yes"	3.15631868131868	3.91152263374486	1.582371429	0.973444535	12	0.416142371929803	-0.239267332825424	0.384819191524975
"Testudo horsfieldii"	40	"Terrestrial"	"Yes"	2.125	1.5	1.052414504	0.578372317	10	0.187880397546168	0.294117647058824	0.450432966476866
"Kinixys homeana"	60	"Terrestrial"	"No"	1.89473684210526	2.90686274509804	0.823948718	1.08740678	15	0.147456258834	-0.534177559912857	-0.319750557582638
"Kinixys belliana"	26.5	"Terrestrial"	"No"	2.41025641025641	2.38888888888889	2.22661362	0.667076531	12	0.108641822001882	0.00886524822694977	0.700407594291101
