"species"	"Mean.EX.Female"	"SD.EX.Female"	"Lower.EX.Female"	"Upper.EX.Female"	"Mean.AR.Female"	"SD.AR.Female"	"Lower.AR.Female"	"Upper.AR.Female"	"Mean.EX.Male"	"SD.EX.Male"	"Lower.EX.Male"	"Upper.EX.Male"	"Mean.AR.Male"	"SD.AR.Male"	"Lower.AR.Male"	"Upper.AR.Male"	"Mean.EXDiff"	"SD.EXDiff"	"Lower.EXDiff"	"Upper.EXDiff"	"Mean.ARDiff"	"SD.ARDiff"	"Lower.ARDiff"	"Upper.ARDiff"
"Mauremys reevesii"	10.1821445738823	1.46719780694239	7.64132886512326	13.3320191788409	0.0356597390107546	0.0351891909665902	-0.00769162266632662	0.123867666528462	10.5013035676001	1.52669347396034	7.87892249879582	13.9060943113727	0.0372268408896015	0.0353922371810224	-0.00668385667667198	0.124190718912893	-0.0522634093465812	0.214766902701305	-0.535246751339181	0.305253503194969	-0.0015671018788469	0.0498975885012921	-0.102193821356856	0.102333841778477
"Cuora galbinifrons"	16.2918213726497	2.57075614927521	11.9499698945292	21.9587536437676	-0.000325386595995149	0.0109392552509108	-0.018143251398764	0.0273297804842547	15.1991654905677	3.28982628227699	10.0973633821386	22.7450481644458	-0.00850138838621597	0.0103449562690386	-0.0317840882461645	0.00924275672736969	0.0441614110170667	0.258108520157086	-0.558079904641701	0.441924008343554	0.00817600179022082	0.0148929318600809	-0.0174642825353515	0.0426787343286305
"Cuora trifasciata"	NA	NA	NA	NA	NA	NA	NA	NA	23.5341630844708	3.08487715304176	19.1237427990538	31.2069150146784	0.0365670697461856	0.0255712480333685	0.00242194581862616	0.0972015543454401	NA	NA	NA	NA	NA	NA	NA	NA
"Cuora amboinensis"	12.3793207790916	0.760869269432202	10.9218553784664	13.9134115517145	0.0177932967478207	0.0122898032115429	-0.000361331808901162	0.0465773137916373	13.2220641553561	1.08917578475296	11.2369609429087	15.5089637960988	0.00754743229682552	0.0135083727943191	-0.0100884738607296	0.0436355570602347	-0.0721263333408573	0.110492787055882	-0.307366344621289	0.1266120627406	0.0102458644509952	0.0182942423607851	-0.0297456601879169	0.044962248048678
"Heosemys grandis"	17.7600250471357	1.51432574844527	15.1445217081431	21.0968764134482	0.0419465196073161	0.0263526222566125	0.00361510676975078	0.104660358205577	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Geoclemys hamiltonii"	19.0612790502744	1.70770287822666	16.0190993373549	22.7224744391372	0.060630101830533	0.0332122805108732	0.00857454822645827	0.13188020071073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Batagur borneoensis"	NA	NA	NA	NA	NA	NA	NA	NA	16.0559823972819	2.37510341796435	12.5196579359767	21.7397613825674	0.0257036254204644	0.0240707131571987	-0.00324030820234319	0.0870916654803242	NA	NA	NA	NA	NA	NA	NA	NA
"Siebenrockiella crassicollis"	5.71964770812384	1.2795444758389	3.55093743773548	8.5505709615207	-0.0436961724590577	0.225075345355317	-0.674266931940278	-5.28372169870359e-16	7.01079404580166	1.7496757161604	4.19944218880367	10.946477936714	-0.0449373723583175	0.033107724030107	-0.127339906765266	0.000881638578601067	-0.289081384446581	0.444476556727191	-1.34109324367303	0.361716114069343	0.00124119989925979	0.227856499784957	-0.632449226906681	0.124457306447736
"Geoemyda spengleri"	15.1532140839236	1.45914581049488	12.6990676306595	18.3831623958713	0.0091227465140552	0.0157317545493371	-0.00898969808455014	0.0524629205942002	12.6312621924368	1.62001235447328	9.8978194502895	16.2537469615197	0.00252561528600546	0.0126528992376006	-0.0170921039092587	0.034138343444555	0.158900757094405	0.133879359071361	-0.131443265997292	0.392974222125833	0.00659713122804974	0.0200855121314832	-0.0307739437346066	0.0540084185977587
"Indotestudo forstenii"	8.67592133396824	1.66587539307055	5.99278999314182	12.434862282176	0.0185465077711139	0.0294877182203037	-0.0203042190549168	0.095667463942236	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Indotestudo elongata"	21.6751007499495	1.95047764995275	18.6003377376917	26.2630059350506	0.0317075011880253	0.0216422068523604	0.00206404536939604	0.0832898882395852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Malacochersus tornieri"	18.0357062315125	1.09209206148122	16.1059328488957	20.3674648024379	0.0128055169004137	0.00948435087344013	-0.000488112018514785	0.0351445994189764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Testudo marginata"	13.1481568693627	2.14461962443335	9.65668186965761	17.9159050619732	-0.000343158311886903	0.00279551635686243	-0.00476862155566584	0.000628390158825639	20.4877258686999	2.86260893982346	15.8291872369321	27.0690881949186	0.00666184180633181	0.00913226829787927	-0.00592258892778179	0.0296674999408706	-0.598748704462186	0.340754024247345	-1.36774619742381	-0.0357275404577629	-0.00700500011821872	0.00952441960208175	-0.030843488586845	0.00609842758621411
"Testudo kleinmanni"	11.7632767000305	0.641144894263782	10.5291367897656	13.0486501213267	0.113961721186621	0.0496287584446162	0.0328879158183498	0.226792906005726	10.995500751759	0.546747489598597	9.94575724175087	12.0848641619866	0.0649318802289456	0.0292373221244661	0.0162183588361221	0.12999797800935	0.0624878572234968	0.0692445037088825	-0.0797430843259813	0.190385341262105	0.0490298409576759	0.057503860607939	-0.0558212835809931	0.171011262432876
"Testudo graeca"	10.1434941410197	0.822601339225675	8.62465869635195	11.8743398088548	-0.0261490747530935	0.0100278463386598	-0.0480335683346313	-0.00874157423574642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
