"ID"	"Birth.Date"	"Min.Birth.Date"	"Max.Birth.Date"	"Entry.Date"	"Depart.Date"	"Depart.Type"
"1"	1962-08-08	1962-08-08	1962-08-08	1962-08-08	1963-07-18	"D"
"2"	1955-08-23	1955-08-23	1955-08-23	1955-08-23	1958-02-19	"D"
"3"	1958-12-31	1958-12-31	1958-12-31	1958-12-31	1988-10-17	"D"
"5"	1961-09-23	1961-09-23	1961-09-23	1961-09-23	1995-10-30	"D"
"6"	1963-03-23	1963-03-23	1963-03-23	1963-03-23	1963-03-26	"D"
"7"	1955-12-10	1955-12-10	1955-12-10	1955-12-10	1956-09-03	"D"
"8"	1965-07-16	1965-07-16	1965-07-16	1965-07-16	1999-05-19	"D"
"9"	1958-06-06	1958-06-06	1958-06-06	1958-06-06	1995-07-09	"D"
"10"	1957-12-31	1957-12-31	1957-12-31	1957-12-31	1961-03-14	"D"
"11"	1958-03-12	1958-03-12	1958-03-12	1958-03-12	1994-12-12	"D"
"12"	1965-01-28	1965-01-28	1965-01-28	1965-01-28	1966-05-25	"D"
"13"	1967-03-21	1967-03-21	1967-03-21	1967-03-21	1998-11-02	"D"
"14"	1958-02-09	1958-02-09	1958-02-09	1958-02-09	1959-05-26	"D"
"15"	1957-12-13	1957-12-13	1957-12-13	1957-12-13	1958-12-16	"D"
"16"	1963-08-26	1963-08-26	1963-08-26	1963-08-26	2000-01-01	"C"
"18"	1962-09-17	1962-09-17	1962-09-17	1962-09-17	1963-09-16	"D"
"19"	1966-01-25	1966-01-25	1966-01-25	1966-01-25	1966-02-25	"D"
"20"	1959-06-08	1959-06-08	1959-06-08	1959-06-08	2000-01-01	"C"
"21"	1966-03-27	1966-03-27	1966-03-27	1966-03-27	1988-11-01	"D"
"22"	1969-03-19	1969-03-19	1969-03-19	1969-03-19	1969-07-26	"D"
"23"	1950-09-26	1950-01-01	1955-01-01	1955-01-01	1992-01-02	"D"
"24"	1965-07-18	1965-07-18	1965-07-18	1965-07-18	1997-01-21	"D"
"25"	1954-06-15	1950-01-01	1955-01-01	1955-01-01	1955-07-14	"D"
